Customer_ID,Customer_Name,Contact_Name,Contact_Email,Contact_Phone,Industry,Region,Annual_Revenue,Total_Employees,Account_Manager,Last_Contact_Date,Lead_Source,Priority,Open_Tickets,Closed_Tickets,Customer_Satisfaction_Score,Potential_Opportunity_Value,Current_Contract_Value
CUST-00028,LLC Henderson-Rodriguez,Curtis Smith,ffrazier@hudson.biz,-6647,Manufacturing,United States,784308687.8,5874,Curtis Smith,4/6/2020 11:42,Cold Call,High,18,45,3.81,744362.61,6387602.78
CUST-00029,Group Ward-Nelson,Robert Porter,michael46@jones.biz,-10813,Defense,United States,191236203.2,370,Robert Porter,12/19/2020 13:03,Cold Call,Medium,8,40,4.02,668280.77,4390241.19
CUST-00030,and Sons Chandler-Mckay,Kenneth Roberts,rmitchell@gmail.com,-3640,Technology,United States,75172876.12,8474,Kenneth Roberts,5/19/2020 11:10,Online,Medium,0,28,4.93,940378.54,6092218.48
CUST-00031,Ltd Reyes Ltd,Kevin Davenport,allenamanda@mills.net,-6293,Automotive,United States,378166872.9,9619,Barbara Butler,4/15/2020 11:49,Online,Low,19,47,3.8,631143.52,2513369.93
CUST-00032,and Sons Alvarez-Wagner,Andrea Small,greerwilliam@gmail.com,-11316,Energy,United States,514533220.2,686,Andrea Small,3/12/2020 14:45,Trade Show,High,6,38,4.49,328729.82,8853920.14
CUST-00033,PLC Price-Ayala,Bradley Sloan,reneegray@molina.info,-7044,Technology,United States,468082851.6,1870,Bradley Sloan,2/9/2020 8:14,Online,High,5,40,3.89,469075.47,7847286.19
CUST-00034,PLC Strickland-Ward,Willie Thompson,burkejames@chan.com,-10941,Automotive,United States,708471800.9,6331,Willie Thompson,9/8/2020 12:42,Cold Call,Medium,1,32,1.37,485038.5,9557226.87
CUST-00035,PLC Phillips-Silva,Tyler Robinson,roger48@yahoo.com,-4843,Automotive,United States,290835179,8423,Tyler Robinson,5/23/2020 11:27,Online,Low,4,34,2.27,299913.4,1891859.47
CUST-00036,"LLC Davidson, Kim and Wilson",Michelle Yoder,michaelmckee@gmail.com,-5318,Technology,United States,339596778.5,2378,Michelle Yoder,7/29/2020 10:04,Online,Medium,19,18,2.95,310453.4,9271272.25
CUST-00037,and Sons Perez-Rollins,Jamie Jordan,anthonybrendan@gmail.com,-8252,Manufacturing,United States,535221959.3,608,Jamie Jordan,12/1/2020 15:40,Online,Medium,10,41,4.89,420715.33,7791541.53
CUST-00038,Ltd Martinez LLC,Aaron Carter,anthony73@gmail.com,-6698,Automotive,United States,522086583.4,7279,Aaron Carter,9/13/2020 14:25,Cold Call,Low,10,0,4.2,459943.62,2379113.47
CUST-00039,and Sons Green-Cunningham,Erik Meyer,agray@lopez-lawson.com,-4291,Energy,United States,674046439.8,2202,Erik Meyer,11/28/2020 11:28,Referral,Medium,10,20,2.62,252468.79,4381466.89
CUST-00040,Inc Malone-Castillo,Kevin Carr,uhayes@gonzalez-perkins.com,-7782,Magnetics,United States,708836422.2,2416,Kevin Carr,9/22/2020 13:06,Trade Show,Low,0,17,2.62,751595.47,893288.73
CUST-00041,Group Roach and Sons,Chelsey Ward,cindy63@hotmail.com,-4948,Technology,United States,983835859.4,3030,Chelsey Ward,12/20/2020 14:25,Online,Low,2,31,3.68,989581.66,5558598.03
CUST-00042,LLC Black Inc,Clifford Peck,lopezjessica@patrick.com,-9891,Technology,United States,495295755.8,5667,Ronald Myers,4/15/2020 15:35,Trade Show,Low,16,33,4.5,21986.64,3453445.7
CUST-00043,and Sons Chung LLC,Daniel Mann,osmith@gmail.com,-8256,Manufacturing,United States,949031377.1,3399,Daniel Mann,3/13/2020 10:48,Cold Call,High,9,44,2.46,489337.23,4075257.04
CUST-00044,"and Sons Vaughn, Hutchinson and Hall",Kayla Deleon,jkelley@hughes.com,-3687,Defense,United States,346580670.4,85,Kayla Deleon,8/4/2020 9:27,Trade Show,Low,17,38,3.18,865585.54,8299331.09
CUST-00045,Group Floyd LLC,Cynthia Wolfe,phowell@gmail.com,-3315,Energy,United States,560444371.7,5380,Cynthia Wolfe,5/28/2020 15:39,Referral,Low,5,44,3.25,545346.19,4083077.06
CUST-00046,Group Hill and Sons,Whitney Gutierrez,reedchristopher@benson.com,-2926,Magnetics,United States,450872902.3,8725,Whitney Gutierrez,12/25/2020 11:05,Referral,Medium,9,12,1.16,641567.81,9816439.87
CUST-00047,"LLC Wade, Sanchez and Holland",Jamie Austin,zward@johnson.com,-8756,Defense,United States,795528573.6,1602,Andrea Miranda,12/6/2020 10:54,Trade Show,Medium,6,13,4.28,113903.29,2833470.99
CUST-00048,PLC Robinson-Marks,Mary Steele,xperez@hotmail.com,-4264,Manufacturing,United States,820964258.3,2431,Mary Steele,6/2/2020 11:26,Referral,Medium,5,6,1.87,133696.55,352291.89
CUST-00049,"Ltd White, Taylor and Moran",Jonathan Kelley,pjames@johnson-lopez.com,-8256,Automotive,United States,969961281.1,5185,Jonathan Kelley,4/6/2020 16:52,Referral,Low,1,23,4.05,417276.17,8945686.42
CUST-00050,"and Sons Simon, Morton and Chase",Chloe Ball,brendataylor@green-gould.net,-4502,Automotive,United States,7329601.94,7366,Chloe Ball,3/13/2020 14:21,Cold Call,Low,19,14,1.47,326874.09,1783200.13
CUST-00051,"Group West, Adams and Rose",Colleen Perry,david86@hotmail.com,-6395,Energy,United States,177547936,4828,Colleen Perry,10/16/2020 14:41,Trade Show,Low,11,3,2.63,32657.37,5277930.18
CUST-00052,"LLC James, Franklin and Bush",Lauren Long,nhaynes@brown.net,-4374,Automotive,United States,263806043.6,1393,Lauren Long,12/4/2020 8:52,Trade Show,High,16,36,4.86,354829.1,4485849.05
CUST-00053,LLC Rivera-Hicks,Gregory Johnson,jennifer65@sellers.org,-4018,Defense,United States,850065975.4,1695,Gregory Johnson,12/21/2020 15:47,Referral,High,1,16,1.58,132891.16,7561592.25
CUST-00054,"Inc Bullock, Ritter and Foster",Patrick Henson,connieroberts@ortega-stevens.com,-3464,Manufacturing,United States,256617830.4,9676,Patrick Henson,7/9/2020 16:48,Trade Show,High,11,45,3.02,598341.91,6212411.93
CUST-00055,Ltd Patterson-Hall,James Hernandez,bryan01@mahoney.com,-3867,Defense,United States,636450435.2,6277,James Hernandez,1/31/2020 16:15,Trade Show,Low,11,45,1.37,193628.69,1614820.74
CUST-00056,"Ltd Robinson, Fischer and Johnson",Christine Hernandez,robin77@mcbride-walker.com,-2776,Manufacturing,United States,176301782.6,9609,Christine Hernandez,7/20/2020 16:12,Cold Call,High,4,38,1.54,923961.1,59806.13
CUST-00057,Ltd Harmon PLC,Krista Lee,emilygreen@gmail.com,-5801,Automotive,United States,18050930.48,1484,Krista Lee,4/11/2020 15:21,Trade Show,Low,15,3,3.55,523801.29,5335910.95
CUST-00058,"and Sons Williams, Thomas and Burton",Brittany Harding,russellsmith@yahoo.com,-6756,Automotive,United States,5926405.29,1904,Brittany Harding,3/28/2020 16:00,Cold Call,Medium,13,48,3.27,554548.51,1419028.51
CUST-00059,"Inc Owens, Christian and Hess",James Walter,traceyayers@yahoo.com,-9652,Manufacturing,United States,193623211.8,2861,James Walter,2/11/2020 8:54,Cold Call,Medium,12,36,4.92,421767.88,3571872.95
CUST-00060,LLC Shea LLC,Patricia Cohen,frichards@yahoo.com,-11059,Energy,United States,312582991,1310,Patricia Cohen,12/11/2020 11:26,Online,Medium,5,48,2.96,35832.39,6708537.15
CUST-00061,LLC Navarro Group,Heather Holland,hwright@potter.biz,-4222,Manufacturing,United States,32526736.1,9444,Heather Holland,6/9/2020 9:14,Online,Medium,1,7,1.79,129581.92,2362150.82
CUST-00062,PLC Townsend-Weiss,Pamela Daniels,marisa28@hotmail.com,-5275,Defense,United States,456041012.8,111,Pamela Daniels,10/16/2020 16:06,Referral,Low,9,38,3.62,382777.31,3501471.91
CUST-00063,Group Morales Group,Laurie Gordon,adamscory@moody.com,-10859,Technology,United States,240810606.4,6335,Elizabeth Morris,7/24/2020 12:43,Trade Show,Low,7,44,1.65,183501.69,1973279.25
CUST-00064,and Sons Castro PLC,Cindy Hunt,robinsonrachel@hotmail.com,-5690,Manufacturing,United States,172786847,1375,Cindy Hunt,11/24/2020 16:42,Cold Call,Low,19,12,4.58,429936.75,9170454.15
CUST-00065,Group Dixon and Sons,Angela Lopez,tylerdeleon@yahoo.com,-8448,Technology,United States,442334171.1,5998,Amanda Klein,1/17/2020 12:03,Online,Medium,18,28,2.39,118142.47,1110564.73
CUST-00066,Inc Scott PLC,Melinda Hanna,robertgarcia@perry-smith.com,-7798,Defense,United States,200867898.4,4034,Melinda Hanna,7/12/2020 16:39,Trade Show,Low,4,35,4.2,250230.06,4076581.46
CUST-00067,Ltd Parks-Jones,Jessica Reed,ryanlee@hotmail.com,-5074,Automotive,United States,63283804.98,8716,Jessica Reed,10/7/2020 12:22,Trade Show,High,16,34,2.76,943897.19,6637674.28
CUST-00068,Inc Duran-Jones,Katherine Malone,tcarr@garcia.org,-9958,Defense,United States,448477393.7,7631,Katherine Malone,10/27/2020 11:13,Trade Show,High,19,18,1.49,313678.78,4711663.02
CUST-00069,and Sons Nguyen-Garcia,Mathew Schmidt,pauljones@gmail.com,-3811,Automotive,United States,907855778.5,6002,Mathew Schmidt,12/1/2020 16:07,Cold Call,Low,10,0,3.33,545499.51,9663979.27
CUST-00070,and Sons Friedman-Taylor,Matthew Lee,nicholasbryant@norman.info,-4989,Energy,United States,877363251.4,7720,Matthew Lee,5/18/2020 16:01,Referral,Low,0,2,2.12,603905.09,8329866.89
CUST-00071,LLC Stevens Inc,Jamie Hernandez,sara41@yahoo.com,-8658,Defense,United States,99317303.83,1038,Jamie Hernandez,6/19/2020 16:14,Trade Show,Medium,17,38,2.26,362778.49,2105338.26
CUST-00072,Group Rivera-Garcia,Brian Hunt,eric84@choi-thomas.net,-8299,Defense,United States,964316395.6,3366,Brian Hunt,10/28/2020 16:45,Cold Call,Low,8,2,2.92,379905.09,948618.54
CUST-00073,"Inc Hall, Patton and Bentley",Melissa Ayala,walkerchristian@potts-alvarado.com,-7075,Automotive,United States,189793324.5,8123,Melissa Ayala,8/14/2020 9:35,Cold Call,High,14,8,2.92,591722.02,2685605.86
CUST-00074,"LLC White, Fuentes and Davis",Aaron Peterson,psingh@vincent.com,-4590,Manufacturing,United States,209506743.8,3477,Aaron Peterson,12/20/2020 8:24,Trade Show,Low,12,22,1.53,829983.64,4173809.8
CUST-00075,"Inc Rogers, Thompson and Marks",Maria Wong,ljohnson@walker.com,-2397,Energy,United States,378871531.7,3255,Maria Wong,10/16/2020 10:44,Cold Call,Low,8,27,1.98,713399.84,2938410.93
CUST-00076,PLC Molina Ltd,Andrew Nelson,heather31@hotmail.com,-3307,Defense,United States,490819684,6194,Sarah Zamora,8/3/2020 11:34,Referral,Medium,12,35,3.01,320846.66,3877875.1
CUST-00077,"Group Smith, Stanley and Walker",Sandra Allen,alvaradochristopher@yahoo.com,-9586,Automotive,United States,786385263.5,6690,Sandra Allen,11/2/2020 16:58,Online,High,1,10,3.5,984028.01,558287.15
CUST-00078,PLC Thomas Group,David Snow,kristensnyder@friedman.biz,-10776,Defense,United States,628124970.4,6180,David Snow,8/13/2020 8:26,Trade Show,Medium,11,43,1.22,326265.59,7345817.79
CUST-00079,"Group Stanley, Harris and Lynch",Lauren Morse,ocastillo@gmail.com,-9896,Automotive,United States,875784598.1,9421,Lauren Morse,11/17/2020 12:34,Online,Low,1,22,4.11,250291.07,8995431.66
CUST-00080,"and Sons Barber, Miller and Wilson",Cheyenne Hill,gwright@martinez.com,-11122,Manufacturing,United States,387923670.2,7865,Cheyenne Hill,12/15/2020 16:08,Cold Call,High,5,16,2.49,806537.36,1483515.75
CUST-00081,Inc Pugh and Sons,Luke Sims,elizabeth06@yahoo.com,-6459,Magnetics,United States,419611390.7,4310,Kimberly Lopez,8/20/2020 12:24,Referral,Low,1,47,1.05,778817.15,7028028.94
CUST-00082,"PLC Smith, Pham and Hill",Heather Sherman,teresa87@yates-caldwell.com,-10276,Automotive,United States,655080302.8,157,Heather Sherman,8/29/2020 13:01,Online,Low,7,43,3.47,492257.81,3171868.92
CUST-00083,and Sons Smith Group,Rebecca Walker,alyssa68@jackson.com,-5190,Magnetics,United States,312345702.3,7001,Edward Bryan,7/8/2020 12:55,Cold Call,Medium,11,30,2.43,467399.2,4866202.02
CUST-00084,"Inc Turner, Davis and Pugh",Jason Pittman,douglassmith@hotmail.com,-9126,Technology,United States,638771609.9,8959,Jason Pittman,1/2/2020 10:01,Referral,Low,6,15,4.56,249087.29,8613869.85
CUST-00085,"Group Flowers, Conrad and Vazquez",James Kelly,gibbslarry@hotmail.com,-8529,Energy,United States,727668048.6,7696,James Kelly,10/4/2020 14:31,Online,Low,15,22,1.04,401898.22,4529216.51
CUST-00086,Group Conner-Williams,Julia Fuller,nataliecannon@hotmail.com,-8294,Defense,United States,53672340.27,4716,Julia Fuller,8/18/2020 12:36,Cold Call,High,5,19,3.67,480030.2,1507506.09
CUST-00087,and Sons Perry-Reynolds,Robert Pratt,kimberlyware@gardner.com,-9462,Automotive,United States,126215992.9,8305,Robert Pratt,10/13/2020 15:36,Online,Medium,2,2,3.14,398860.8,8870016.93
CUST-00088,Group Lane PLC,Tamara Austin,michellesantos@johnston.com,-3315,Automotive,United States,885123235.9,1075,Tamara Austin,3/11/2020 12:33,Referral,High,7,35,2.67,30146.04,6696729.15
CUST-00089,PLC Ritter-Soto,Richard Vasquez,tliu@gmail.com,-3616,Magnetics,United States,202708567.7,5838,Richard Vasquez,11/26/2020 14:23,Cold Call,High,14,26,2.12,101287.38,212327.67
CUST-00090,"and Sons Anderson, Roy and Brady",Audrey Buchanan,denise47@gmail.com,-6484,Manufacturing,United States,344602191.9,1211,Audrey Buchanan,1/5/2020 8:34,Cold Call,High,4,37,1.4,390867.57,4599077.1
CUST-00091,"PLC Stafford, Holder and Lowe",Victoria Barron,antonionguyen@davis.com,-9004,Technology,United States,18384582.4,4890,Victoria Barron,3/5/2020 15:46,Referral,High,2,38,3.2,624117.02,248256.97
CUST-00092,PLC Santana Group,Nathaniel Hays MD,tom21@carpenter.com,-3535,Magnetics,United States,822000317.2,5637,Nathaniel Hays MD,7/2/2020 8:16,Cold Call,Medium,12,1,4.33,916308.61,5811398.79
CUST-00093,"Ltd Moss, Lewis and Patel",Ruth Reynolds,sandra86@yahoo.com,-6879,Magnetics,United States,552557053.6,3744,Ruth Reynolds,3/23/2020 13:31,Cold Call,High,10,42,4.63,525231.56,3490837.54
CUST-00094,"Inc Hernandez, Oconnell and Parker",Deanna Collins,grahamkathleen@gmail.com,-4161,Defense,United States,384204325.9,9027,Deanna Collins,4/22/2020 14:13,Online,Medium,8,31,2.06,924477.61,2627731.13
CUST-00095,Ltd Moore LLC,Amy Gomez,aaronnelson@hotmail.com,-5811,Defense,United States,607737576.5,2012,Amy Gomez,10/28/2020 13:10,Online,High,17,37,1.49,781739.58,130129.3
CUST-00096,"LLC Gentry, Torres and Salazar",Gregg Espinoza,benjamin17@dougherty.org,-7735,Magnetics,United States,430770245.7,5057,Gregg Espinoza,1/26/2020 8:14,Cold Call,Medium,2,20,4.47,687056.12,820258.67
CUST-00097,"Group Mcgrath, Fowler and Sanchez",Michael Smith,tjohnson@gmail.com,-8498,Energy,United States,243846831.9,7303,Michael Smith,7/13/2020 12:24,Referral,Low,18,42,1.66,765641.99,59732.77
CUST-00098,PLC Chung-Cox,Joseph Clark,emily42@hotmail.com,-5140,Energy,United States,520416610,4358,Joseph Clark,2/25/2020 11:54,Cold Call,Low,3,36,4.1,16932.5,7302775.15
CUST-00099,LLC Guzman-Diaz,Maria Nunez,reneebarajas@hotmail.com,-8581,Magnetics,United States,846960428.6,693,Maria Nunez,6/11/2020 12:23,Online,High,19,8,1.91,713530.89,3603275.74
CUST-00100,"Ltd Conway, Brooks and Mathis",Alan Snyder,richard55@clarke-guerrero.com,-10230,Manufacturing,United States,685849395.2,2485,Alan Snyder,1/17/2020 13:22,Online,Low,8,42,2.52,36552.25,5161792.65
CUST-00101,Inc Pearson Ltd,Kevin Hall,carmenmarquez@may.com,-3232,Defense,United States,781611846.8,7199,Kevin Hall,4/19/2020 14:42,Referral,High,5,6,4.05,36807.21,2988506.3
CUST-00102,"LLC Gomez, Banks and Thompson",Sergio Walters,nwashington@gmail.com,-10523,Defense,United States,225962352.6,9712,Sergio Walters,3/10/2020 8:40,Trade Show,Medium,0,34,4.6,224219.46,1420585.65
CUST-00103,LLC Lewis-Meyer,Breanna Murray,dpotter@yahoo.com,-8733,Defense,United States,210234874.3,7260,Breanna Murray,1/27/2020 11:55,Cold Call,Medium,0,17,4.89,410923.39,2792064.97
CUST-00104,Group Franco-Flores,Brian Holmes,bscott@yahoo.com,-9156,Manufacturing,United States,864043278.7,3106,Brian Holmes,6/9/2020 8:28,Cold Call,High,0,25,4.35,266053.54,2756287.1
CUST-00105,"LLC Vargas, Smith and Turner",Blake Garrett,chelsea46@yahoo.com,-4138,Technology,United States,490774847.5,4708,Blake Garrett,8/7/2020 8:05,Online,Medium,1,33,2.28,630483.5,722329.12
CUST-00106,"Ltd Parsons, Jones and Rodriguez",Patricia Johnson,mitchellruben@harvey-banks.info,-7658,Energy,United States,203501614.2,3247,Patricia Johnson,7/26/2020 11:09,Cold Call,High,11,0,1.8,420122.34,2712262.17
CUST-00107,"LLC Bell, Brandt and Davis",Cory Weaver,talvarez@hotmail.com,-5264,Magnetics,United States,840040828.6,4220,Cory Weaver,5/21/2020 12:20,Cold Call,Low,15,30,2.95,77149.03,4002308.07
CUST-00108,and Sons Cruz PLC,Angela Salinas,alexandra85@yahoo.com,-4577,Defense,United States,638586612.6,4892,Angela Salinas,5/5/2020 11:08,Online,Medium,8,37,4.19,627150.31,5090917.35
CUST-00109,Group Cooke Inc,Dawn Murphy,rhodesbrian@hotmail.com,-10880,Technology,United States,93493758.32,696,Dawn Murphy,10/2/2020 12:21,Cold Call,Low,12,33,1.75,976603.67,162019.41
CUST-00110,and Sons Everett-Webb,Jason Nelson,christophercarroll@hotmail.com,-7988,Automotive,United States,722785666.1,7397,Jason Nelson,2/6/2020 16:38,Referral,Low,17,27,3.78,865726.18,584603.17
CUST-00111,Group Brown LLC,Corey Jones,mccoyrobert@forbes.com,-7072,Magnetics,United States,763152488.7,3999,Corey Jones,1/20/2020 10:20,Referral,High,2,18,3.05,722471.11,2397899.39
CUST-00112,Inc Johnson Inc,Lynn Parks,gkeller@yahoo.com,-9526,Defense,United States,327450738.4,4900,Colleen Walker,7/15/2020 12:43,Referral,Low,16,32,3.49,717111.41,496488.63
CUST-00113,Group Smith-Coleman,Meghan Perez,rrios@hotmail.com,-6793,Magnetics,United States,453947735.6,385,Meghan Perez,6/3/2020 14:20,Referral,Low,3,33,1.07,69218.36,2921985.69
CUST-00114,and Sons Santos-Preston,Natasha Anderson,ocasey@gmail.com,-4715,Energy,United States,476593413.1,1342,Natasha Anderson,1/5/2020 8:00,Referral,Medium,1,32,2.34,320534.92,4730814.76
CUST-00115,Inc Howard and Sons,David Patel,davismanuel@perry.org,-8913,Automotive,United States,808980622.7,4296,David Patel,5/29/2020 10:17,Trade Show,Low,18,23,4.46,797293.54,576031.8
CUST-00116,Inc Vang-Romero,Mr. Albert Rowe Jr.,laurie17@yahoo.com,-4984,Energy,United States,883605458.6,6309,Mr. Albert Rowe Jr.,8/8/2020 13:40,Cold Call,Low,2,30,1.15,114331.56,3789357.28
CUST-00117,"Group Ramos, James and Little",Beverly May,michelle53@frazier.com,-9902,Defense,United States,636502457.4,6582,Beverly May,11/11/2020 8:49,Referral,High,12,33,3.22,989426.42,6805482.43
CUST-00118,"Inc Vargas, Cross and Thornton",Cynthia Jones,murraybrian@hotmail.com,-4096,Manufacturing,United States,542058474,8149,Cynthia Jones,11/17/2020 9:13,Online,Medium,1,1,2.47,991579.2,462516.26
CUST-00119,PLC Walker-Berry,Patrick Larson,fknight@henry-jones.com,-9002,Energy,United States,510792435.5,1235,Patrick Larson,12/21/2020 16:29,Referral,Low,10,29,2.68,173557.32,2334399.74
CUST-00120,LLC Lee-Simpson,Amy Bennett,christinewilliams@wilcox-andersen.com,-2459,Automotive,United States,844857198.2,4461,Amy Bennett,2/11/2020 12:00,Cold Call,Low,11,19,2.06,885989.17,2776057.99
CUST-00121,and Sons Green Ltd,Jeremy Miller,ballardmark@gmail.com,-11538,Technology,United States,612700111.7,5896,Jeremy Miller,7/7/2020 11:12,Referral,Medium,8,45,4.15,758404.28,2129960.34
CUST-00122,LLC Evans-Wheeler,Mary Miller MD,salazardiana@padilla.com,-3007,Automotive,United States,398128558.7,1773,Mary Miller MD,3/27/2020 15:04,Trade Show,Medium,10,1,3.98,363420.61,2900211.21
CUST-00123,LLC Green-Martin,Jamie Barrera,michaelroberts@lopez.biz,-3746,Defense,United States,887656159.8,6012,Jamie Barrera,7/13/2020 11:32,Cold Call,High,0,32,3.37,25096.19,9366130.3
CUST-00124,"and Sons Fields, Parks and Gould",Emily Wilson,evanrojas@yu.org,-8691,Manufacturing,United States,483856860,2388,Emily Wilson,4/16/2020 14:36,Trade Show,Low,12,8,2.8,626537.77,1051112.54
CUST-00125,"Ltd Kramer, Dougherty and Miles",Justin Reyes,jacqueline84@yahoo.com,-9283,Defense,United States,507687921.1,5255,Justin Reyes,7/15/2020 13:50,Cold Call,Medium,5,48,1.46,653396.03,2490996.63
CUST-00126,Ltd Fisher Inc,Spencer Woods,ybird@taylor-williams.com,-2944,Technology,United States,954990185.9,1682,Spencer Woods,12/25/2020 15:19,Referral,Low,18,27,2.29,33554.27,9249108.4
